Télévision TCL 4K Roku TV;106;2500
Grille-pain KitchenAid;107;4000
Guitare acoustique Martin D-28;109;7000
Chaussures de course Nike Air Zoom Pegasus;110;8500
Smartphone Apple iPhone 13;111;10000
Table de ping-pong Cornilleau Sport 250S;112;11500
Stand mixer Smeg;113;13000
Guitare électrique Fender Stratocaster;114;14500
Valise Samsonite Winfield 3;115;16000
Détecteur de mouvement Arlo;116;17500
Mixer à main KitchenAid;117;19000
Appareil photo instantané Fujifilm Instax Mini 11;119;22000
Moniteur LG UltraWide;120;23500
Vélo de montagne Specialized Stumpjumper;121;25000
Vélo elliptique Sole E35;122;26500
Téléviseur Samsung QLED 4K;123;28000
Bateau gonflable Intex Excursion;124;29500
Trottinette électrique Xiaomi Mi Electric Scooter;125;31000
